date,open_ibova,open_oil,open_usd,open_petr4,open_vale
23/07/2012,54183,10.86540985,13.62839508,19.37999916,39.20000076
24/07/2012,53038,10.59457588,13.47813225,18.87000084,37.75
25/07/2012,52658,10.33799744,13.66026878,19.04999924,37.45000076
26/07/2012,52638,10.58388615,13.88338566,19,36.09999847
27/07/2012,54024,10.72286606,13.98356247,19.26000023,35.20000076
30/07/2012,56551,10.69079399,14.34328175,19.45000076,36.59999847
31/07/2012,57243,11.18969727,14.7530899,20.05999947,37.5
01/08/2012,56091,11.32867813,15.27673435,20.30999947,37.75
02/08/2012,56289,11.23246098,14.78951836,19.5,37.27999878
03/08/2012,55524,11.12198925,14.29774761,19.54999924,36.56000137
06/08/2012,57255,11.45696735,14.69844913,19.97999954,37.49000168
07/08/2012,58343,11.5638752,14.73943043,19.02000046,37.20000076
08/08/2012,57723,11.88103485,15.06272316,20.14999962,37.65999985
09/08/2012,58950,11.81332684,15.06272316,20.38999939,37.54999924
10/08/2012,58774,11.93805313,15.53627872,20.90999985,37.74000168
13/08/2012,59281,11.93805313,15.2084322,20.90999985,38.04999924
14/08/2012,59123,12.11266899,15.52261925,21.02000046,38.65000153
15/08/2012,58083,12.14117813,15.45887089,21.14999962,38.36000061
16/08/2012,58190,11.93805313,15.45887089,20.78000069,36.91999817
17/08/2012,59443,12.30154037,15.45887089,21.29999924,36.79999924
20/08/2012,59083,12.33361244,15.45887089,21.56999969,36.88000107
21/08/2012,59298,12.41557503,15.85501862,21.54999924,35.65000153
22/08/2012,58918,12.42982864,15.75484276,21.86000061,36.81000137
23/08/2012,59382,12.22670364,15.48163795,21.12000084,36
24/08/2012,58511,12.25521278,15.50440502,21.39999962,35.72999954
27/08/2012,58424,12.06990623,15.39056873,21.10000038,34.58000183
28/08/2012,58109,12.11623287,15.47708416,21.27000046,34.47999954
29/08/2012,58414,11.96299839,15.24941254,21.26000023,33.66999817
30/08/2012,57366,12.18394089,15.3131609,21.48999977,33.97000122
31/08/2012,57257,11.94161701,14.8259449,21.09000015,32.72000122
03/09/2012,57065,12.1732502,14.95799446,21.14999962,33.29999924
04/09/2012,57272,11.73849106,14.4798851,20.77000046,33.88999939
05/09/2012,56236,11.86678123,14.4798851,20.62999916,33.38000107
06/09/2012,56868,11.9166708,14.38881588,20.54999924,32.70000076
10/09/2012,58325,11.92736244,14.43435097,20.67000008,33.29000092
11/09/2012,58405,12.16968727,15.0354023,21.44000053,34.52000046
12/09/2012,59429,11.97368908,14.88513947,21.27000046,35.95999908
13/09/2012,59921,12.09128761,15.09004307,21.80999947,36.99000168
14/09/2012,61955,12.16968727,15.31771469,21.94000053,37.15999985
17/09/2012,62106,12.5616827,15.68654156,23.06999969,38.5
18/09/2012,61806,12.77549839,15.97796059,23.17000008,38.66999817
19/09/2012,61806,12.62226391,15.81859112,23.34000015,39.29999924
20/09/2012,61652,12.67928123,15.36324883,23.14999962,39.45999908
21/09/2012,61695,12.55811882,15.25852013,22.54000092,38.56999969
24/09/2012,61319,12.686409,15.4133358,23.14999962,38.90999985
25/09/2012,61913,12.65077305,15.25396729,22.65999985,37.59999847
26/09/2012,60506,12.36568546,15.11281109,22.95999908,37.74000168
27/09/2012,60483,11.72423744,14.35238934,22.52000046,36.77999878
28/09/2012,60240,11.69216537,14.59372044,22.89999962,37.38999939
01/10/2012,59171,11.70998287,14.09284401,22.54999924,36.61999893
02/10/2012,59575,11.57812977,14.01543617,22.32999992,36.56999969
03/10/2012,59222,11.84183598,14.16569901,22.67000008,36.70000076
04/10/2012,58627,11.90241718,14.14748478,22.76000023,36.22999954
05/10/2012,58460,11.57456589,13.94258118,22.36000061,35.75
08/10/2012,58572,11.75274563,14.13837814,22.68000031,36.72999954
09/10/2012,59319,11.5104208,13.96990108,22.10000038,35.75
10/10/2012,58944,11.41776752,14.07007694,22.45000076,37.56000137
11/10/2012,58460,11.13267994,13.70580292,22.27000046,37.56999969
15/10/2012,59164,11.05071735,13.51000595,22.27000046,37.24000168
16/10/2012,59602,11.22889709,13.46902466,22.54999924,37.18000031
17/10/2012,59742,11.29304218,13.71946335,22.94000053,37.59999847
18/10/2012,60087,11.4391489,13.68758869,22.73999977,37.5
19/10/2012,59701,11.4391489,13.52821922,22.54999924,37.02999878
22/10/2012,58925,11.56031227,13.57830715,22.53000069,37.18000031
23/10/2012,58679,11.52823925,13.45536518,22.32999992,36.63000107
24/10/2012,57686,11.17900658,13.00002193,21.94000053,36.20999908
25/10/2012,57161,11.19682503,12.96814823,21.72999954,35.75
26/10/2012,57833,11.40351295,13.65116215,21.70999908,36.79000092
29/10/2012,57267,11.41776752,13.51455879,21.69000053,36.90999985
30/10/2012,57178,11.39638615,13.43259716,21.5,36.97999954
31/10/2012,57682,11.49973011,13.57375431,21.39999962,37.20000076
01/11/2012,57065,11.45340443,13.66026878,21.62999916,37.40000153
05/11/2012,58374,11.38925934,13.43259716,20.92000008,37.47000122
06/11/2012,58220,11.75274563,14.02454185,20.62999916,37.72999954
07/11/2012,59460,11.86678123,14.16114521,21.44000053,38.25999832
08/11/2012,58523,11.88459873,14.16114521,21.62000084,38.18000031
09/11/2012,57517,11.74918175,13.95168781,21.20000076,38.18999863
12/11/2012,57358,11.44271278,13.52366638,20.54999924,37.08000183
13/11/2012,57049,11.41776752,13.56009293,20.82999992,37.20000076
14/11/2012,57472,11.40351295,13.59196663,20.44000053,36.70000076
16/11/2012,56277,11.5816927,13.72856998,20.29000092,36.99000168
19/11/2012,55387,11.5816927,13.52366638,19.67000008,36.16999817
21/11/2012,56453,11.61020184,13.65571499,19.44000053,36.00999832
22/11/2012,56245,12.03783417,14.07462978,19.46999931,36.34000015
23/11/2012,56439,12.20532322,14.31596184,18.80999947,36.61999893
26/11/2012,57571,12.27303123,14.42068958,18.64999962,36.27999878
27/11/2012,56737,12.34430313,14.51631165,19.12999916,36.90000153
28/11/2012,56206,12.31223106,14.36149597,18.92000008,36.88000107
29/11/2012,56562,12.0485239,14.00177479,18.44000053,35.90000153
30/11/2012,57845,12.13761425,14.23855305,19,36.40000153
03/12/2012,57479,12.29441261,14.49354458,19.09000015,37.29999924
04/12/2012,58212,12.65433598,14.73943043,18.87999916,37.52999878
05/12/2012,57597,12.65077305,14.9306736,19.04000092,37.65000153
06/12/2012,57685,12.59019089,14.88058567,19,37.11000061
07/12/2012,57656,12.74342632,14.9989748,18.92000008,37.22999954
10/12/2012,58468,12.51179218,14.86692619,18.77000046,37.38000107
11/12/2012,59257,12.45477486,14.84415913,19.04000092,37.09999847
12/12/2012,59626,12.65789986,15.00352764,19.67000008,38.33000183
13/12/2012,59459,12.65077305,15.067276,19.93000031,38.97000122
14/12/2012,59320,12.686409,14.88058567,19.72999954,39.00999832
17/12/2012,59604,12.88240623,15.00352764,19.59000015,39.91999817
18/12/2012,59568,12.82182503,14.87603283,20.07999992,41.18999863
19/12/2012,60461,12.79331589,14.93522739,19.86000061,42.22000122
20/12/2012,60992,12.83251572,15.02629566,20.39999962,42.79999924
21/12/2012,61271,13.09622192,15.52717209,20.87000084,41.81999969
26/12/2012,61003,12.82895184,15.31771469,20.65999985,41.27000046
27/12/2012,60964,12.95367813,15.52261925,20.54000092,41.34999847
28/12/2012,60416,12.78618908,15.4178896,20.05999947,41.81999969
02/01/2013,60990,12.55099201,15.19021893,19.5,42.43000031
03/01/2013,62555,12.7648077,15.48163795,19.98999977,43
04/01/2013,63314,12.83251572,15.62279415,19.80999947,43.5
07/01/2013,62523,13.54167175,16.16920471,20.32999992,43.34000015
08/01/2013,61933,13.30647469,15.95063972,20.47999954,42.52999878
09/01/2013,61129,13.31003761,15.88233852,20.11000061,41.77000046
10/01/2013,61578,13.36705589,15.91421318,19.63999939,41.70999908
11/01/2013,61662,13.59512615,16.14188385,19.77000046,41.81000137
14/01/2013,61511,13.25658417,15.89599895,19.85000038,41.75
15/01/2013,62079,13.36349201,15.99162102,20.01000023,41.59999847
16/01/2013,61726,13.36349201,15.99162102,20.01000023,41.59999847
17/01/2013,61806,13.31003761,15.95974731,19.88999939,41.22999954
18/01/2013,62197,13.33141994,16.09179688,19.86000061,40.61000061
21/01/2013,61962,13.59512615,16.39232254,19.79999924,41.09000015
22/01/2013,61904,13.60581684,16.41053581,19.56999969,40.68999863
